Add Text,Legg til tekst
Apply Background,Påfør Bakgrunn
Choose Art,Velg Art
Add Title,Legg til tittel
Add,Legg
Background,Bakgrunn
Image,Bilde
Art,Art
Add Image,Legg til bilde
Choose Product,Velg Produkt
Edit,Rediger
Edit Panel,Rediger Panel
"Ungroup does one level layering, so to do further layering, ungroup again until you can select the element you want to change color for.","Dele opp gjør ett nivå lagdeling, så for å gjøre ytterligere lagdeling, UNGROUP igjen til du kan velge elementet du ønsker å endre farge for."
Select any layer to change color of complete layer.,Velg hvilket som helst lag for å endre fargen på komplett lag.
"You can add only one element (i.e. Smiley, Text, Image) at a time.","Du kan kun legge til et element (dvs. Smiley, tekst, bilde) på en gang."
Please select the element to edit/delete it.,Velg elementet for å redigere / slette den.
You can change the designer product directly from here,Du kan endre designer produktet direkte herfra
Note: But the changes you made in the previous product wont be saved.,Merk: Men endringene du gjorde i forrige produktet ikke vil bli frelst.
Select any color from the dropdown to change color of the design area. ,Velg en farge fra nedtrekksmenyen for å endre fargen på design-området.
You can also change the font and the color of the font.,Du kan også endre font og farge på skriften.
You can add text from here,Du kan legge til tekst herfra
You can add title from here,Du kan legge til tittel herfra
Upload Images,Last opp bilde
Upload images from your local storage.,Last opp bilde fra din harddisk
Choose and click the image you want to use in design.,Velg og klikk på bildet du vil bruke i design.
You can resize and rotate the image further using editing controls.,Du kan endre størrelse og rotere bildet ytterligere ved hjelp av redigeringskontroller.
Images Gallery,bilder Galleri
ADD TO CART,Legg i handlekurven
APPLY BACKGROUND COLOR,Bruk bakgrunnsfarge
Add Art,Legg Art
ADD IMAGE,Legg bilde
Apply Background Color,Bruk bakgrunnsfarge
Change Text Color,Endre tekstfarge
Change Text Size,Endre tekststørrelse
Your Name,Ditt navn
Font Style,Skriftstil
Change Title Color,Endre tekstfarge
Change Title Size,Endre tekststørrelse
Your Title,Din tittel
Title Font Style,Tittel Skriftstil
Text Font Style,Endre font
QTY,Antall
Item number,Artikkelnummer
